data,Disease
itching  skinrash  nodalskineruptions  dischromicpatches,Fungal infection
skinrash  nodalskineruptions  dischromicpatches,Fungal infection
itching  nodalskineruptions  dischromicpatches,Fungal infection
itching  skinrash  dischromicpatches,Fungal infection
itching  skinrash  nodalskineruptions,Fungal infection
skinrash  nodalskineruptions  dischromicpatches,Fungal infection
itching  nodalskineruptions  dischromicpatches,Fungal infection
itching  skinrash  dischromicpatches,Fungal infection
itching  skinrash  nodalskineruptions,Fungal infection
itching  skinrash  nodalskineruptions  dischromicpatches,Fungal infection
continuoussneezing  shivering  chills  wateringfromeyes,Allergy
shivering  chills  wateringfromeyes,Allergy
continuoussneezing  chills  wateringfromeyes,Allergy
continuoussneezing  shivering  wateringfromeyes,Allergy
continuoussneezing  shivering  chills,Allergy
shivering  chills  wateringfromeyes,Allergy
continuoussneezing  chills  wateringfromeyes,Allergy
continuoussneezing  shivering  wateringfromeyes,Allergy
continuoussneezing  shivering  chills,Allergy
continuoussneezing  shivering  chills  wateringfromeyes,Allergy
stomachpain  acidity  ulcersontongue  vomiting  cough  chestpain,GERD
stomachpain  ulcersontongue  vomiting  cough  chestpain,GERD
stomachpain  acidity  vomiting  cough  chestpain,GERD
stomachpain  acidity  ulcersontongue  cough  chestpain,GERD
stomachpain  acidity  ulcersontongue  vomiting  chestpain,GERD
stomachpain  acidity  ulcersontongue  vomiting  cough,GERD
acidity  ulcersontongue  vomiting  cough  chestpain,GERD
stomachpain  ulcersontongue  vomiting  cough  chestpain,GERD
stomachpain  acidity  vomiting  cough  chestpain,GERD
stomachpain  acidity  ulcersontongue  cough  chestpain,GERD
itching  vomiting  yellowishskin  nausea  lossofappetite  abdominalpain  yellowingofeyes,Chronic cholestasis
vomiting  yellowishskin  nausea  lossofappetite  abdominalpain  yellowingofeyes,Chronic cholestasis
itching  yellowishskin  nausea  lossofappetite  abdominalpain  yellowingofeyes,Chronic cholestasis
itching  vomiting  nausea  lossofappetite  abdominalpain  yellowingofeyes,Chronic cholestasis
itching  vomiting  yellowishskin  lossofappetite  abdominalpain  yellowingofeyes,Chronic cholestasis
itching  vomiting  yellowishskin  nausea  abdominalpain  yellowingofeyes,Chronic cholestasis
itching  vomiting  yellowishskin  nausea  lossofappetite  yellowingofeyes,Chronic cholestasis
itching  vomiting  yellowishskin  nausea  lossofappetite  abdominalpain,Chronic cholestasis
itching  vomiting  yellowishskin  nausea  lossofappetite  abdominalpain  yellowingofeyes,Chronic cholestasis
itching  vomiting  yellowishskin  nausea  lossofappetite  abdominalpain  yellowingofeyes,Chronic cholestasis
itching  skinrash  stomachpain  burningmicturition  spottingurination,Drug Reaction
itching  stomachpain  burningmicturition  spottingurination,Drug Reaction
itching  skinrash  burningmicturition  spottingurination,Drug Reaction
itching  skinrash  stomachpain  spottingurination,Drug Reaction
itching  skinrash  stomachpain  burningmicturition,Drug Reaction
skinrash  stomachpain  burningmicturition  spottingurination,Drug Reaction
itching  stomachpain  burningmicturition  spottingurination,Drug Reaction
itching  skinrash  burningmicturition  spottingurination,Drug Reaction
itching  skinrash  stomachpain  spottingurination,Drug Reaction
itching  skinrash  stomachpain  burningmicturition,Drug Reaction
vomiting  lossofappetite  abdominalpain  passageofgases  internalitching,Peptic ulcer diseae
vomiting  indigestion  abdominalpain  passageofgases  internalitching,Peptic ulcer diseae
indigestion  lossofappetite  abdominalpain  passageofgases  internalitching,Peptic ulcer diseae
vomiting  lossofappetite  abdominalpain  passageofgases  internalitching,Peptic ulcer diseae
vomiting  indigestion  abdominalpain  passageofgases  internalitching,Peptic ulcer diseae
vomiting  indigestion  lossofappetite  passageofgases  internalitching,Peptic ulcer diseae
vomiting  indigestion  lossofappetite  abdominalpain  internalitching,Peptic ulcer diseae
vomiting  indigestion  lossofappetite  abdominalpain  passageofgases,Peptic ulcer diseae
vomiting  indigestion  lossofappetite  abdominalpain  passageofgases  internalitching,Peptic ulcer diseae
vomiting  indigestion  lossofappetite  abdominalpain  passageofgases  internalitching,Peptic ulcer diseae
musclewasting  patchesinthroat  highfever  extramaritalcontacts,AIDS
patchesinthroat  highfever  extramaritalcontacts,AIDS
musclewasting  highfever  extramaritalcontacts,AIDS
musclewasting  patchesinthroat  extramaritalcontacts,AIDS
musclewasting  patchesinthroat  highfever,AIDS
musclewasting  patchesinthroat  highfever  extramaritalcontacts,AIDS
musclewasting  patchesinthroat  highfever  extramaritalcontacts,AIDS
patchesinthroat  highfever  extramaritalcontacts,AIDS
musclewasting  highfever  extramaritalcontacts,AIDS
musclewasting  patchesinthroat  highfever,AIDS
fatigue  weightloss  restlessness  lethargy  irregularsugarlevel  blurredanddistortedvision  obesity  excessivehunger  increasedappetite  polyuria,Diabetes 
fatigue  weightloss  restlessness  lethargy  irregularsugarlevel  blurredanddistortedvision  obesity  excessivehunger  increasedappetite  polyuria,Diabetes 
weightloss  restlessness  lethargy  irregularsugarlevel  blurredanddistortedvision  obesity  excessivehunger  increasedappetite  polyuria,Diabetes 
fatigue  restlessness  lethargy  irregularsugarlevel  blurredanddistortedvision  obesity  excessivehunger  increasedappetite  polyuria,Diabetes 
fatigue  weightloss  lethargy  irregularsugarlevel  blurredanddistortedvision  obesity  excessivehunger  increasedappetite  polyuria,Diabetes 
fatigue  weightloss  restlessness  irregularsugarlevel  blurredanddistortedvision  obesity  excessivehunger  increasedappetite  polyuria,Diabetes 
fatigue  weightloss  restlessness  lethargy  blurredanddistortedvision  obesity  excessivehunger  increasedappetite  polyuria,Diabetes 
fatigue  weightloss  restlessness  lethargy  irregularsugarlevel  obesity  excessivehunger  increasedappetite  polyuria,Diabetes 
fatigue  weightloss  restlessness  lethargy  irregularsugarlevel  blurredanddistortedvision  excessivehunger  increasedappetite  polyuria,Diabetes 
fatigue  weightloss  restlessness  lethargy  irregularsugarlevel  blurredanddistortedvision  obesity  increasedappetite  polyuria,Diabetes 
vomiting  sunkeneyes  dehydration  diarrhoea,Gastroenteritis
vomiting  sunkeneyes  dehydration  diarrhoea,Gastroenteritis
sunkeneyes  dehydration  diarrhoea,Gastroenteritis
vomiting  dehydration  diarrhoea,Gastroenteritis
vomiting  sunkeneyes  diarrhoea,Gastroenteritis
vomiting  sunkeneyes  dehydration,Gastroenteritis
vomiting  sunkeneyes  dehydration  diarrhoea,Gastroenteritis
sunkeneyes  dehydration  diarrhoea,Gastroenteritis
vomiting  dehydration  diarrhoea,Gastroenteritis
vomiting  sunkeneyes  diarrhoea,Gastroenteritis
fatigue  cough  highfever  breathlessness  familyhistory  mucoidsputum,Bronchial Asthma
cough  highfever  breathlessness  familyhistory  mucoidsputum,Bronchial Asthma
fatigue  highfever  breathlessness  familyhistory  mucoidsputum,Bronchial Asthma
fatigue  cough  breathlessness  familyhistory  mucoidsputum,Bronchial Asthma
fatigue  cough  highfever  familyhistory  mucoidsputum,Bronchial Asthma
fatigue  cough  highfever  breathlessness  mucoidsputum,Bronchial Asthma
fatigue  cough  highfever  breathlessness  familyhistory,Bronchial Asthma
fatigue  cough  highfever  breathlessness  familyhistory  mucoidsputum,Bronchial Asthma
cough  highfever  breathlessness  familyhistory  mucoidsputum,Bronchial Asthma
fatigue  highfever  breathlessness  familyhistory  mucoidsputum,Bronchial Asthma
headache  chestpain  dizziness  lossofbalance  lackofconcentration,Hypertension 
chestpain  dizziness  lossofbalance  lackofconcentration,Hypertension 
headache  dizziness  lossofbalance  lackofconcentration,Hypertension 
headache  chestpain  lossofbalance  lackofconcentration,Hypertension 
headache  chestpain  dizziness  lackofconcentration,Hypertension 
headache  chestpain  dizziness  lossofbalance,Hypertension 
headache  chestpain  dizziness  lossofbalance  lackofconcentration,Hypertension 
chestpain  dizziness  lossofbalance  lackofconcentration,Hypertension 
headache  dizziness  lossofbalance  lackofconcentration,Hypertension 
headache  chestpain  lossofbalance  lackofconcentration,Hypertension 
